,image,subject,contrast,hemi,view
139,s09/tstat01_turning_rest.nii.gz.s09.rh_lateral.png,s09,turning_rest,rh,lateral
140,s09/SMA_imagine_rest.nii.gz.s09.lh_lateral.png,s09,imagine_rest,lh,lateral
141,s09/tstat03_imagine_rest.nii.gz.s09.lh_medial.png,s09,imagine_rest,lh,medial
142,s09/tstat01_turning_rest.nii.gz.s09.rh_medial.png,s09,turning_rest,rh,medial
143,s09/tstat03_imagine_rest.nii.gz.s09.rh_medial.png,s09,imagine_rest,rh,medial
144,s09/tstat01_turning_rest.nii.gz.s09.lh_medial.png,s09,turning_rest,lh,medial
145,s09/tstat04_turning_walking.nii.gz.s09.rh_lateral.png,s09,turning_walking,rh,lateral
146,s09/tstat03_imagine_rest.nii.gz.s09.lh_lateral.png,s09,imagine_rest,lh,lateral
147,s09/tstat02_walking_rest.nii.gz.s09.rh_lateral.png,s09,walking_rest,rh,lateral
148,s09/SMA_imagine_rest.nii.gz.s09.lh_dorsal.png,s09,imagine_rest,lh,dorsal
149,s09/SMA_imagine_rest.nii.gz.s09.rh_dorsal.png,s09,imagine_rest,rh,dorsal
150,s09/tstat02_walking_rest.nii.gz.s09.lh_medial.png,s09,walking_rest,lh,medial
151,s09/tstat02_walking_rest.nii.gz.s09.rh_medial.png,s09,walking_rest,rh,medial
152,s09/SMA_imagine_rest.nii.gz.s09.rh_medial.png,s09,imagine_rest,rh,medial
153,s09/SMA_imagine_rest.nii.gz.s09.lh_medial.png,s09,imagine_rest,lh,medial
154,s10/SMA_imagine_rest.nii.gz.s10.lh_medial.png,s10,imagine_rest,lh,medial
155,s10/SMA_imagine_rest.nii.gz.s10.rh_medial.png,s10,imagine_rest,rh,medial
156,s10/tstat01_turning_rest.nii.gz.s10.rh_lateral.png,s10,turning_rest,rh,lateral
157,s10/tstat02_walking_rest.nii.gz.s10.lh_medial.png,s10,walking_rest,lh,medial
158,s10/tstat02_walking_rest.nii.gz.s10.rh_medial.png,s10,walking_rest,rh,medial
159,s10/SMA_imagine_rest.nii.gz.s10.rh_dorsal.png,s10,imagine_rest,rh,dorsal
160,s10/SMA_imagine_rest.nii.gz.s10.lh_dorsal.png,s10,imagine_rest,lh,dorsal
161,s10/SMA_imagine_rest.nii.gz.s10.lh_lateral.png,s10,imagine_rest,lh,lateral
162,s10/tstat04_turning_walking.nii.gz.s10.rh_medial.png,s10,turning_walking,rh,medial
163,s10/tstat04_turning_walking.nii.gz.s10.lh_medial.png,s10,turning_walking,lh,medial
164,s10/tstat04_turning_walking.nii.gz.s10.lh_lateral.png,s10,turning_walking,lh,lateral
165,s10/tstat03_imagine_rest.nii.gz.s10.lh_lateral.png,s10,imagine_rest,lh,lateral
166,s10/tstat02_walking_rest.nii.gz.s10.rh_lateral.png,s10,walking_rest,rh,lateral
167,s10/tstat03_imagine_rest.nii.gz.s10.lh_medial.png,s10,imagine_rest,lh,medial
168,s10/tstat01_turning_rest.nii.gz.s10.rh_medial.png,s10,turning_rest,rh,medial
169,s10/tstat03_imagine_rest.nii.gz.s10.rh_medial.png,s10,imagine_rest,rh,medial
170,s10/tstat01_turning_rest.nii.gz.s10.lh_medial.png,s10,turning_rest,lh,medial
171,s10/tstat01_turning_rest.nii.gz.s10.lh_lateral.png,s10,turning_rest,lh,lateral
172,s10/SMA_imagine_rest.nii.gz.s10.rh_lateral.png,s10,imagine_rest,rh,lateral
173,s10/tstat02_walking_rest.nii.gz.s10.lh_lateral.png,s10,walking_rest,lh,lateral
174,s10/tstat03_imagine_rest.nii.gz.s10.rh_lateral.png,s10,imagine_rest,rh,lateral
175,s10/tstat04_turning_walking.nii.gz.s10.rh_lateral.png,s10,turning_walking,rh,lateral
176,s11/tstat04_turning_walking.nii.gz.s11.lh_lateral.png,s11,turning_walking,lh,lateral
177,s11/tstat01_turning_rest.nii.gz.s11.rh_lateral.png,s11,turning_rest,rh,lateral
178,s11/SMA_imagine_rest.nii.gz.s11.lh_lateral.png,s11,imagine_rest,lh,lateral
179,s11/tstat03_imagine_rest.nii.gz.s11.lh_lateral.png,s11,imagine_rest,lh,lateral
180,s11/tstat02_walking_rest.nii.gz.s11.rh_lateral.png,s11,walking_rest,rh,lateral
181,s11/SMA_imagine_rest.nii.gz.s11.lh_dorsal.png,s11,imagine_rest,lh,dorsal
182,s11/SMA_imagine_rest.nii.gz.s11.rh_dorsal.png,s11,imagine_rest,rh,dorsal
183,s11/tstat03_imagine_rest.nii.gz.s11.lh_medial.png,s11,imagine_rest,lh,medial
